frame.len,ip.len,ip.ttl,ip.proto,ip.version,tcp.srcport,tcp.dstport,tcp.len,tcp.seq,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.window_size,udp.srcport,udp.dstport,udp.length,dns.qry.type,dns.flags.response,dns.flags.recdesired,alert
54,40,128,6,4,38436,80,0,165,1,1,0,1048832,,,,,,,benign
54,40,64,6,4,80,38436,0,850,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38436,80,0,166,1,0,0,1048832,,,,,,,benign
66,52,128,6,4,38439,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38439,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38439,80,0,1,1,0,0,1049600,,,,,,,benign
219,205,128,6,4,38439,80,165,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38439,0,1,1,0,0,6912,,,,,,,benign
1514,1500,64,6,4,80,38439,1460,1,1,0,0,6912,,,,,,,benign
1267,1253,64,6,4,80,38439,1213,1461,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38439,80,0,166,1,0,0,1049600,,,,,,,benign
54,40,128,6,4,38439,80,0,166,1,1,0,1049600,,,,,,,benign
54,40,64,6,4,80,38439,0,2674,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38439,80,0,167,1,0,0,1049600,,,,,,,benign
66,52,128,6,4,38440,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38440,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38440,80,0,1,1,0,0,1049600,,,,,,,benign
215,201,128,6,4,38440,80,161,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38440,0,1,1,0,0,6912,,,,,,,benign
955,941,64,6,4,80,38440,901,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38440,80,0,162,1,1,0,1048832,,,,,,,benign
54,40,64,6,4,80,38440,0,902,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38440,80,0,163,1,0,0,1048832,,,,,,,benign
66,52,128,6,4,38442,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38442,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38442,80,0,1,1,0,0,1049600,,,,,,,benign
213,199,128,6,4,38442,80,159,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38442,0,1,1,0,0,6912,,,,,,,benign
887,873,64,6,4,80,38442,833,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38442,80,0,160,1,1,0,1048832,,,,,,,benign
54,40,64,6,4,80,38442,0,834,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38442,80,0,161,1,0,0,1048832,,,,,,,benign
66,52,128,6,4,38443,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38443,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38443,80,0,1,1,0,0,1049600,,,,,,,benign
220,206,128,6,4,38443,80,166,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38443,0,1,1,0,0,6912,,,,,,,benign
933,919,64,6,4,80,38443,879,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38443,80,0,167,1,1,0,1048832,,,,,,,benign
54,40,64,6,4,80,38443,0,880,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38443,80,0,168,1,0,0,1048832,,,,,,,benign
66,52,128,6,4,38446,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38446,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38446,80,0,1,1,0,0,1049600,,,,,,,benign
228,214,128,6,4,38446,80,174,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38446,0,1,1,0,0,6912,,,,,,,benign
1068,1054,64,6,4,80,38446,1014,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38446,80,0,175,1,1,0,1048576,,,,,,,benign
54,40,64,6,4,80,38446,0,1015,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38446,80,0,176,1,0,0,1048576,,,,,,,benign
66,52,128,6,4,38447,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38447,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38447,80,0,1,1,0,0,1049600,,,,,,,benign
222,208,128,6,4,38447,80,168,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38447,0,1,1,0,0,6912,,,,,,,benign
1514,1500,64,6,4,80,38447,1460,1,1,0,0,6912,,,,,,,benign
154,140,64,6,4,80,38447,100,1461,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38447,80,0,169,1,0,0,1049600,,,,,,,benign
54,40,128,6,4,38447,80,0,169,1,1,0,1049600,,,,,,,benign
54,40,64,6,4,80,38447,0,1561,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38447,80,0,170,1,0,0,1049600,,,,,,,benign
66,52,128,6,4,38448,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38448,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38448,80,0,1,1,0,0,1049600,,,,,,,benign
226,212,128,6,4,38448,80,172,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38448,0,1,1,0,0,6912,,,,,,,benign
1138,1124,64,6,4,80,38448,1084,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38448,80,0,173,1,1,0,1048576,,,,,,,benign
54,40,64,6,4,80,38448,0,1085,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38448,80,0,174,1,0,0,1048576,,,,,,,benign
66,52,128,6,4,38449,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38449,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38449,80,0,1,1,0,0,1049600,,,,,,,benign
225,211,128,6,4,38449,80,171,1,1,0,0,1049600,,,,,,,benign
